name,prompt,negative_prompt,description,category
FLUIDS_Urine,"(urine:1.3), (piss stream:1.2), golden shower fluid, watersports fluid, stream of urine visible, golden liquid stream","clean, dry, no urine",Urine fluid. Pairs with ACTION_Urination. Combos: SCENE_Toilet_Public; POSE_Squat_Toilet.,FLUIDS
GENITALS_Anal_Gaping,"(anal gaping:1.4), (gaping anus:1.3), stretched asshole, open anus, post-anal gape, wide open anus, gaping rear","tight, closed, intact",Anal gaping. Combos: ACTION_Fisting_Anal; ACTION_Penetration_Anal; GENITALS_Anus_Focus.,GENITALS
GENITALS_Anus_Focus,"anus, anal focus, (spread anus:1.3), asshole, butthole, rear view, detailed anus, puckered anus, tight anus","censored, covered, no anus",Anal area focus,GENITALS
GENITALS_Anus_Puffy,"(puffy anus:1.3), (puffy asshole:1.2), swollen anus, plump anal ring, fleshy anus, prominent puffy rear hole","flat, tight, gaping, minimal",Puffy / swollen anus. Combos: GENITALS_Anus_Focus; CAMERA_Ass_Focus; GENITALS_Vagina_Puffy (full puffy combo).,GENITALS
GENITALS_FUTA_Average_Dick,"futanari, (average penis:1.2), average length, natural size, proportional shaft, (testicles:1.1), realistic futa","huge cock, monster cock, horse cock, tiny penis, female only, no penis",Average futa penis. Most realistic result. Combos: FUTA_BODY_Average; FUTA_ACTION_Masturbation.,GENITALS
GENITALS_FUTA_Bulge,"futanari, (visible bulge:1.4), (clothed bulge:1.3), outline through fabric, tent in panties, noticeable bulge, concealed erection, straining fabric","exposed penis, naked, nude, female only, no penis",Clothed bulge — suggestive not explicit. Combos: FEMBOY_CLOTHES_*; FUTA_THEME_Surprise_Reveal. Works with any clothing style.,GENITALS
GENITALS_FUTA_Cum_Drip,"futanari, (pre-cum dripping:1.3), (cum dripping from tip:1.3), leaking, wet tip, glistening, (throbbing:1.2), aroused, engorged","dry, unaroused, female only, no penis",Dripping/pre-cum futa. Arousal state marker. Combos: FUTA_FLUIDS_Pre_Dripping; FUTA_ACTION_Masturbation; FEMBOY_STATE_Aroused.,GENITALS
GENITALS_FUTA_Cum_Shaft,"futanari, (cum covered shaft:1.3), (cum on penis:1.3), semen dripping down shaft, messy cock, post-orgasm penis, wet shaft","dry, clean, female only, no penis",Post-orgasm cum-covered shaft. Combos: FUTA_FLUIDS_Excessive_Cum; FUTA_ACTION_Cumshot; any FUTA_ACTION penetration.,GENITALS
GENITALS_FUTA_Dick_Only,"futanari, (penis:1.2), balls, no vagina, smooth crotch except penis, no pussy","pussy, vagina, slit, female only",Dick-only futa (no vagina). Combos: FUTA_BODY_*; FUTA_ACTION_*. Conflict: FUTA_GENITALS_Full_Herm.,GENITALS
GENITALS_FUTA_Erect_Display,"futanari, (erect penis:1.4), (full erection:1.3), (prominently displayed:1.3), hard cock, standing erect, throbbing erection, proud display, exposed erection","flaccid, soft, hidden, concealed, female only, no penis",Prominently displayed erect futa cock. Display/teasing pose. Combos: FUTA_POSE_Standing_Dominant; FUTA_THEME_Solo.,GENITALS
GENITALS_FUTA_Full_Herm,"futanari, (penis:1.2), (vagina:1.2), pussy, balls, both genitals, full package, herm","no penis, no pussy, male, female only",Full herm — both genitals. Conflict: FUTA_GENITALS_Dick_Only. Combos: FUTA_FLUIDS_Creampie_Receiving.,GENITALS
GENITALS_FUTA_Hyper_Dick,"futanari, (hyper penis:1.4), (enormous cock:1.5), massive oversized shaft, hyper balls, unrealistic size, exaggerated","average, small penis, realistic, female only, no penis",Hyper dick genitals focus. Combos: FUTA_BODY_Hyper; FUTA_FLUIDS_Excessive_Cum.,GENITALS
GENITALS_FUTA_Large_Dick,"futanari, (huge penis:1.4), (large cock:1.3), oversized shaft, monster cock, thick shaft, veiny, prominent size","small penis, average, no penis, female only",Large futa dick. Combos: FUTA_BODY_Large; FUTA_THEME_Femdom; FUTA_ACTION_Penetrating_Female.,GENITALS
GENITALS_FUTA_Small_Dick,"futanari, small penis, tiny penis, short penis, cute penis, (small cock:1.2)","huge penis, massive cock, horse cock, hyper penis, female only, no penis",Small futa penis. Combos: FUTA_BODY_Newhalf; FEMBOY_STATE_Shy_Blushing; FUTA_THEME_SPH for humiliation angle.,GENITALS
GENITALS_Penis_Average,"(average penis:1.2), normal size cock, regular sized penis, proportional dick, medium length cock, realistic size penis","huge cock, monster cock, horse cock, tiny",Average realistic penis. Combos: any hetero/male action. Less extreme than GENITALS_Penis_Huge.,GENITALS
GENITALS_Penis_Huge,"(huge penis:1.5), (gigantic cock:1.4), (massive dick:1.4), (impossibly large penis:1.3), oversized cock, thick shaft, veiny penis, throbbing penis, monster cock","small penis, tiny dick, average, no penis, flat",Extremely large penis,GENITALS
GENITALS_Penis_Small,"(small penis:1.3), (tiny cock:1.2), small dick, little penis, below average, short penis, SPH target","huge cock, large, monster cock",Small penis. Combos: THEME_Femdom; EXPRESSION_Contemptuous; EXPRESSION_Disapproval. Common in SPH/femdom.,GENITALS
GENITALS_Pubic_Hair_On_Face,"(pubic hair on face:1.4), (pubes pressed against face:1.3), pubic hair stuck to cheeks, bush against mouth, intimate hair on skin, pubic hair transfer to face, dark curly hair on face","clean face, no hair on face, shaved, bare, paint on face, marking on face, tattoo on face, dirt on face",Pubic hair on face — result of facesitting/oral. Improved negatives block false paint/dirt artifacts. Combos: ACTION_Facesitting; ACTION_Cunnilingus; CAMERA_Face_Close.,GENITALS
GENITALS_Testicles_Large,"(large testicles:1.4), (huge balls:1.3), heavy balls, sagging balls, full balls, hanging balls, swollen testicles","no balls, hidden, flat, small balls",Large visible testicles,GENITALS
GROUP_Femboy_With_Female,"1boy, femboy, 1girl, (femboy x girl:1.3), feminine boy with girl, trap with female, 2characters","all male, no femboy, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Femboy with female partner. Roles can swap — combine with THEME_FEMBOY_With_Female.,GROUP
GROUP_Femboy_With_Femboy,"(2boys:1.2), (femboy:1.3), two femboys, dual femboy, twin traps, feminine boys together, boys love femboy","female, 1girl, masculine, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Two femboys. Soft yaoi aesthetic. Combine with THEME_FEMBOY_With_Femboy.,GROUP
GROUP_Femboy_With_Male,"(2boys:1.2), femboy, masculine male, (femboy x male:1.3), feminine boy with man, trap with male","female, 1girl, no femboy, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Femboy receiving from masculine male. Combine with ACTION_FEMBOY_Anal_Receiving, GROUP_Yaoi for BL tone.",GROUP
GROUP_Futa_On_Female,"1girl, futanari, (futa on female:1.3), futa x girl, futanari penetrating girl, 2characters","no futa, all female, yuri only, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Classic futa x girl pairing. Combine with THEME_FUTA_On_Female, ACTION_FUTA_Penetrating_Female.",GROUP
GROUP_Futa_On_Femboy,"futanari, 1boy, femboy, (futa x femboy:1.3), futanari with femboy, futa on trap, 2characters","no futa, no femboy, all female, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Futa x femboy pairing — combo of both pack archetypes. THEME_FEMBOY_With_Futa.,GROUP
GROUP_Futa_On_Futa,"(2girls:1.2), (futanari:1.3), (futa on futa:1.3), two futanari, futa x futa, dual futa, 2 futas together","no futa, solo, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Two futas together. Combine with THEME_FUTA_On_Futa, GENITALS_FUTA_Full_Herm.",GROUP
GROUP_Futa_On_Male,"futanari, 1boy, (futa on male:1.3), futa x male, futanari penetrating boy, 2characters","no futa, all male, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Futa dominating a male. Pairs with THEME_FUTA_Femdom, ACTION_FUTA_Penetrating_Male.",GROUP
GROUP_Gangbang_By_Futa,"(multiple futanari:1.3), 1girl, (futas on girl:1.3), futa horde, futa gang, multiple futas one girl","solo, single futa, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Multiple futas on one target. Extreme futa dom scenario. FLUIDS_FUTA_Excessive_Cum.,GROUP
GROUP_Gangbang_On_Femboy,"1boy, femboy, (multiple males:1.3), (gang on femboy:1.3), femboy surrounded by men, femboy receiving group","female, solo, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Multiple males on femboy. THEME_FEMBOY_Gangbang_Receiving.,GROUP
GROUP_Gangbang_On_Futa,"futanari, (multiple males:1.3), (gang on futa:1.3), futa receiving gangbang, futa surrounded by cocks, group on futa","solo futa, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Multiple males targeting futa. Rare reversal scenario. THEME_FUTA_Solo context flip.,GROUP
GROUP_Solo_Femboy,"1boy, femboy, solo femboy, trap, otokonoko, single femboy, feminine boy alone","1girl, female only, no femboy, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Single femboy character. Foundation for solo femboy scenes. Combine with POSE, BODY_FEMBOY_*.",GROUP
GROUP_Solo_Futa,"1girl, futanari, futa, solo futa, single futanari, futa solo","1boy, male only, no futa, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Single futa character. Foundation for all solo futa scenes. Combine with POSE, CAMERA, BODY_FUTA_*.",GROUP
GROUP_Threesome_Femboy_MM,"(2boys:1.2), 1boy, femboy, (two males one femboy:1.3), spitroast femboy, femboy sandwich","female, 1girl, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Two males on one femboy. Combine with ACTION_FEMBOY_Spitroast_Receiving.,GROUP
GROUP_Threesome_Futa_FF,"(3girls:1.2), (futanari:1.3), (2 girls 1 futa:1.2), futa with two girls threesome, FFfuta","all female no futa, solo, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Futa + 2 girls threesome. Most requested futa group setup. BODY_FUTA_* + GROUP combos.,GROUP
GROUP_Threesome_Futa_MF,"futanari, 1boy, 1girl, (futa boy girl threesome:1.3), three way futa male female, mixed trio","duo only, solo, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Futa + male + female — full mixed threesome. Versatile roles.,GROUP
GROUP_Yaoi,"(2boys:1.3), (yaoi:1.3), (male x male:1.2), two men, boys love, BL, gay couple, man on man","female, girl, straight, yuri, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",M x M pairing. Directly relevant for femboy with male scenarios. BODY_FEMBOY_*.,GROUP
HAIR_FEMBOY_Bob_Chin,"1boy, femboy, (bob cut:1.3), chin length hair, short bob, neat bob, androgynous bob hairstyle","female only, long hair, bald",Chin-length bob — androgynous classic. Combos: FEMBOY_BODY_Androgynous; FEMBOY_ARCHETYPE_Maid.,HAIR
HAIR_FEMBOY_Hair_Over_Eye,"1boy, femboy, (hair over one eye:1.3), fringe covering eye, mysterious bangs, one eye hidden by hair, emo bangs","female only, both eyes visible, bald, short hair",Hair over one eye — mysterious/shy femboy. Combos: FEMBOY_STATE_Shy_Blushing; FEMBOY_ARCHETYPE_Succubus_Male.,HAIR
HAIR_FEMBOY_Long_Straight,"1boy, femboy, (long straight hair:1.3), flowing hair, silky long hair, hip length hair, feminine long hair on boy","female only, short hair, curly, wavy",Long straight hair — classic otokonoko signature. Maximum femininity. Combos: FEMBOY_BODY_Otokonoko; FEMBOY_THEME_Trap_Reveal.,HAIR
HAIR_FEMBOY_Messy_Bangs,"1boy, femboy, (messy bangs:1.3), fringe covering eyes partially, unkempt cute hair, tousled bangs, soft messy fringe","female only, neat hair, slicked back, bald",Messy bangs — signature femboy look. Soft unkempt fringe. Combos: FEMBOY_BODY_Slender; FEMBOY_STATE_Shy_Blushing.,HAIR
HAIR_FEMBOY_Ponytail_Low,"1boy, femboy, (low ponytail:1.3), loose low ponytail, hair tied back low, relaxed ponytail, nape ponytail","female only, high ponytail, bald, short hair",Low ponytail — casual elegant. Combos: FEMBOY_ARCHETYPE_Shrine_Boy; FEMBOY_BODY_Slender.,HAIR
HAIR_FEMBOY_Side_Swept,"1boy, femboy, (side swept hair:1.3), hair swept to one side, asymmetric fringe, elegant side part, swept bangs","female only, center part, bald, buzzcut",Side-swept elegant hair. Refined femboy look. Combos: FEMBOY_ARCHETYPE_Elf; FEMBOY_STATE_Confident_Smug.,HAIR
HAIR_FEMBOY_Twin_Tails,"1boy, femboy, (twintails:1.3), double pigtails, twin tails on boy, femboy pigtails, tied twin tails","female only, single ponytail, short hair",Twintails on femboy. Maximum cute/trap energy. Combos: FEMBOY_ARCHETYPE_Idol; FEMBOY_CLOTHES_Sailor_Uniform.,HAIR
HAIR_FEMBOY_Wolf_Cut,"1boy, femboy, (wolf cut:1.3), layered shaggy hair, textured layers, messy layered, modern shag haircut","female only, neat, straight, slicked",Wolf cut — trendy androgynous. Combos: FEMBOY_ARCHETYPE_Delinquent; FEMBOY_BODY_Athletic_Lean.,HAIR
HAIR_FUTA_Hime_Cut,"futanari, (hime cut:1.3), straight bangs, sidelocks, long black hair, princess cut, traditional japanese haircut","messy, short, male",Hime cut — elegant Japanese princess. Combos: FUTA_ARCHETYPE_Schoolgirl; RACE_FUTA_Fox_Kitsune.,HAIR
HAIR_FUTA_Long_Flowing,"futanari, (long flowing hair:1.3), waist length hair, dramatic long hair, windswept long hair, voluminous long hair","short hair, bald, buzzcut, male",Long flowing dramatic hair. Dominant futa aesthetic. Combos: FUTA_BODY_Tall_Amazon; FUTA_ARCHETYPE_Demon_Queen.,HAIR
HAIR_FUTA_Messy_Wild,"futanari, (messy hair:1.3), wild untamed hair, disheveled mane, bed head, tousled wild hair","neat, styled, male",Messy wild hair — post-sex or feral futa. Combos: FUTA_BODY_Large; STATE_Exhausted_Used; FUTA_THEME_Femdom.,HAIR
HAIR_FUTA_Ponytail_High,"futanari, (high ponytail:1.3), tied back hair, sporty ponytail, athletic ponytail, bouncing ponytail","short hair, bald, loose hair, male",High ponytail — sporty/active. Combos: FUTA_BODY_Muscular; FUTA_ARCHETYPE_Dominatrix.,HAIR
HAIR_FUTA_Short_Undercut,"futanari, (undercut:1.3), shaved sides, short hair with undercut, cyberpunk hair, buzzed sides long top","long all over, bald, male",Short undercut — aggressive/dominant futa. Combos: FUTA_BODY_Muscular; FUTA_ARCHETYPE_Dominatrix; RACE_FUTA_Android.,HAIR
HAIR_FUTA_Twin_Tails,"futanari, (twintails:1.3), double pigtails, twin tails, cute contrast with cock, cute pigtails","short hair, bald, male",Twintails on futa. Cute/lewd contrast. Combos: FUTA_ARCHETYPE_Idol; FUTA_ARCHETYPE_Schoolgirl.,HAIR
POSE_All_Fours_Display,"(on all fours:1.3), (presenting on hands and knees:1.2), all fours display, showing off on all fours, not yet penetrated, exhibiting rear","being penetrated, standing, lying",On all fours display — presentation only. Different from POSE_Doggystyle. Combos: ACTION_Showing_Ass; ARCHETYPE_Catgirl.,POSE
POSE_Arched_Back,"arched back, (back curve:1.2), flexible spine, chest thrust forward, dramatic arch, curved spine, body arched","slouched, hunched, straight back",Arched back,POSE
POSE_Ass_Up_Face_Down,"ass up face down, face down ass up, presenting ass, rear presentation, butt raised, face pressed down, downward dog","upright, standing",Face down ass up,POSE
POSE_Bent_Over,"bent over, bending forward, bent at waist, leaning forward, ass presented, offering ass, bent position","upright, straight, standing",Bent over,POSE
POSE_Body_Bent,"body bent, folded body, extreme flexibility, pretzel pose, body contortion, extreme bend","normal posture, rigid",Body bent extreme,POSE
POSE_Chair_Sex,"(chair sex:1.3), (sex on chair:1.2), seated intercourse, fucking on chair, riding on chair, chair penetration, desk chair sex","lying, standing, floor",Sex on chair. Combos: SCENE_Office; POSE_Cowgirl on chair; ARCHETYPE_Office_Lady.,POSE
POSE_Cowgirl,"cowgirl position, (on top:1.3), riding, riding on top, straddling, riding cock, bouncing on dick, reverse cowgirl","on bottom, underneath",Cowgirl,POSE
POSE_Doggystyle,"doggystyle, from behind, rear entry, doggy position, on all fours, ass up face down, bent over, from behind position","face to face, missionary",Doggystyle,POSE
POSE_FUTA_Bent_Over_Display,"futanari, (bent over:1.3), ass up, rear display, genitals visible from behind, presenting rear, futa ass and cock on display","front facing, female only, no penis",Bent over rear display showing futa package. Combos: FUTA_GENITALS_Erect_Display; FUTA_BODY_Thicc.,POSE
POSE_FUTA_Doggy_Giving,"futanari, (doggystyle:1.3), futa behind partner, rear entry, futa penetrating from behind, doggy position futa top","receiving, bottom, female only, no penis",Futa doggystyle top position. Combos: FUTA_ACTION_Penetrating_Female; FUTA_BODY_Muscular.,POSE
POSE_FUTA_Legs_Up,"futanari, (legs up:1.3), (missionary legs raised:1.2), legs in air, lying on back legs raised, missionary-adjacent, futa exposed","standing, female only, no penis",Legs up — receiving or display. Combos: FUTA_ACTION_Vaginal_Receiving; FUTA_GENITALS_Full_Herm.,POSE
POSE_FUTA_On_Back,"futanari, (lying on back:1.3), supine position, facing upward, (erect cock pointing up:1.3), cock standing straight up while lying, on back with visible erection","standing, prone, face down, no penis",On back — erect cock pointing up. Combos: FUTA_ACTION_Footjob_Receiving; FUTA_ACTION_Paizuri_Receiving.,POSE
POSE_FUTA_On_Knees,"futanari, (on knees:1.3), kneeling, submissive kneel, knees on floor, cock at eye level, futa kneeling","standing, female only, no penis",Futa kneeling. Combos: FUTA_THEME_Maledom; FEMBOY_ACTION_Blowjob_Giving (kneeling femboy).,POSE
POSE_FUTA_Riding_Top,"futanari, (riding on top:1.4), (cowgirl position:1.3), futa bouncing on top, straddling, futa on top of partner, active riding, hips moving","futa on bottom, receiving, lying down passive, solo, no penis",Futa on top riding. Dominant. Combos: FUTA_THEME_On_Partner or On_Male.,POSE
POSE_FUTA_Spread_Legs_Display,"futanari, (spread legs:1.4), (legs wide apart seated:1.3), sitting with legs open, full genitals on display, seated exhibition, inviting spread, cock and balls visible between legs","legs closed, standing, hiding, no penis",Seated spread leg display. Classic futa showcase. Combos: FUTA_GENITALS_Erect_Display; FUTA_THEME_Solo.,POSE
POSE_FUTA_Standing_Dominant,"futanari, (standing tall:1.3), (dominant stance:1.4), hands on hips, towering over, confident posture, cock prominently displayed while standing, looking down","kneeling, submissive, lying down, no penis",Standing dominant display. Combos: FUTA_ARCHETYPE_Dominatrix; FUTA_BODY_Tall_Amazon; FUTA_THEME_Femdom.,POSE
POSE_From_Behind,"from behind, doggy style, back view, ass focus, sex from behind, rear entry, penetration from behind","face to face, front view",From behind,POSE
POSE_Full_Nelson,"full nelson, (arms restrained behind head:1.3), helpless, chest thrust out, vulnerable, lifted off ground, held in full nelson","free, unrestrained, standing",Full nelson,POSE
POSE_Hogtied,"hogtied, (rope bondage:1.3), hands and feet tied together, arched back, completely restrained, immobilized, hogbound","free, untied, unrestrained",Hogtied,POSE
POSE_Jack_O_Challenge,"jack-o challenge, ass up, head down, arched back, spreading cheeks, provocative pose, knees bent, jack-o pose","normal standing, upright",Jack-o challenge,POSE
POSE_Kabedon,"(kabedon:1.4), (hand against wall:1.3), pinned to wall, wall slam, cornered, dominant wall lean, trapped against wall, arm over shoulder wall","open space, lying, distance",Kabedon — pinned against wall. Combos: THEME_Maledom; EXPRESSION_Fear; EXPRESSION_Embarrassed.,POSE
POSE_Lap_Dance,"(lap dance:1.3), straddling lap, dancing on lap, sitting on lap grind, erotic lap dance, grinding in lap","standing, lying, distant",Lap dance. Combos: ACTION_Grinding_Rubbing; SCENE_Strip_Club; ARCHETYPE_Stripper.,POSE
POSE_Leg_Lock,"leg lock, (legs wrapped around waist:1.2), (legs crossed behind back:1.2), mating press, locking partner in, ankles locked","untangled, separate, distance",Leg lock,POSE
POSE_Legs_Behind_Head,"legs behind head, flexible, contortionist, extreme flexibility, legs folded back, acrobatic position","normal position, standing",Legs behind head,POSE
POSE_Legs_Crossed,"(legs crossed:1.3), cross-legged sitting, legs crossed over each other, seated crossed legs, knees crossed, thighs crossed, sitting with crossed legs","spread legs, open legs, standing",Legs crossed. Combos: ARCHETYPE_Office_Lady; SCENE_Office; CAMERA_Full_Body. More demure/composed than POSE_Sitting.,POSE
POSE_Mating_Press,"mating press, (legs pinned back:1.3), legs over head, deep penetration position, folded position, legs pressed down, breeding press","standing, normal position",Mating press,POSE
POSE_Missionary,"missionary position, face to face, on back, legs spread, facing each other, lying missionary, traditional position","from behind, standing",Missionary,POSE
POSE_On_Knees,"on knees, kneeling, kneeling position, knees on ground, submissive kneeling, kneeling posture","standing, lying, sitting",Kneeling,POSE
POSE_On_Stomach_After,"lying on stomach, after sex, exhausted after sex, messy hair, fluids on back, post-sex collapse, spent, passed out","active, energetic, sitting up",On stomach after sex,POSE
POSE_Piledriver,"(piledriver position:1.4), (legs folded overhead:1.3), shoulders on bed, legs over head, vertical penetration, extreme deep position","standing, sitting, normal position",Piledriver. Combos: ACTION_Penetration_Vaginal; BODY_Petite_Small; THEME_Maledom.,POSE
POSE_Prone_Bone,"prone bone, lying on stomach during sex, ass up slightly, face turned sideways, flat on bed, prone position sex","standing, sitting, face up",Prone bone,POSE
POSE_Reverse_Cowgirl,"(reverse cowgirl:1.4), (on top facing away:1.3), riding facing feet, back-facing cowgirl, back to partner, riding backward","facing forward, missionary",Reverse cowgirl. Ass visible — different from POSE_Cowgirl. Combos: CAMERA_Ass_Focus; BODY_Thicc_Voluptuous.,POSE
POSE_Seiza,"(seiza:1.3), (japanese kneeling:1.2), sitting on heels, formal japanese sit, traditional kneel, submissive formal sit","casual sitting, chair, lying",Seiza — Japanese formal kneeling. Combos: ARCHETYPE_Shrine_Maiden; THEME_BDSM_Submission.,POSE
POSE_Sitting,"sitting, sitting down, seated pose, relaxed seated, sitting on surface, comfortable sit","standing, lying down",Sitting pose,POSE
POSE_Sitting_Split,"sitting split, legs fully apart on ground, horizontal split, flexibility, open legs wide, crotch view","standing, closed legs",Sitting split,POSE
POSE_Sitting_Stool_Display,"(sitting on stool:1.3), (legs apart on stool:1.2), perched on bar stool, open legs seated, genital display while sitting, inviting seated pose, spread on chair","standing, lying, closed legs, floor",Sitting on stool/chair with legs apart — inviting display pose. Combos: POSE_Spread_Legs; SCENE_Strip_Club; CAMERA_Pussy_Focus; EXPRESSION_Inviting.,POSE
POSE_Spread_Legs,"(spread legs:1.4), legs apart, legs wide open, m-legs, open legs, displaying genitals, legs open invitation","closed legs, together, standing",Static legs-open position; emphasis on the open stance. Combos: GENITALS_Pussy_Detailed; CAMERA_Pussy_Focus. NOTE — STATIC display; see POSE_Spreading_Legs for active spreading.,POSE
POSE_Spreading_Legs,"spreading legs, pulling legs apart, holding legs open, open crotch, displaying genitals, legs held wide","closed legs, together",Active motion — character is in the act of pulling legs apart. Combos: CAMERA_From_Below; GROUP_MMF setup. NOTE — DYNAMIC action; see POSE_Spread_Legs for the static held-open version.,POSE
POSE_Squat_Spread,"(squatting:1.3), (spread squat:1.2), squatting with legs apart, wide squat, deep squat spread, crouching legs open, slavic squat spread, crotch visible squat","standing, sitting on chair, lying, closed legs",Squatting with spread legs — different from POSE_Squat_Toilet (no toilet context). Combos: CAMERA_Pussy_Focus; CAMERA_From_Below; GENITALS_Pussy_Detailed.,POSE
POSE_Squat_Toilet,"squatting, squat toilet, asian squat, toilet scene, restroom, wide stance squat, full squat, crouching over toilet","standing, lying, western toilet",Squat toilet,POSE
POSE_Standing_Sex,"standing sex, standing position, against wall, vertical sex, wall sex, standing fuck, standing intercourse","lying, sitting",Standing sex,POSE
POSE_Stuck_In_Wall,"(stuck in wall:1.4), (body through wall:1.3), lower body protruding from wall, trapped in wall, ass sticking out of wall, helpless wall stuck, only hips and legs visible","free, standing, no wall, fully visible","Stuck in wall — classic hentai trope. Lower body exposed, upper body hidden. Combos: THEME_Public_Use; THEME_Non_Con; CAMERA_Ass_Focus; ACTION_Penetration_Vaginal.",POSE
RACE_FEMBOY_Android,"1boy, femboy, trap, otokonoko, (android:1.4), (synthetic humanoid:1.3), robot femboy, mechanical joints, feminine android, androgynous android, circuit patterns","1girl, female only, masculine, organic only, no circuits, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Android femboy. Delicate synthetic femboy body. Sci-fi aesthetic. SCENE_Spaceship.,RACE
RACE_FEMBOY_Angel,"1boy, femboy, angel wings, halo, white feathers, holy aura, angelic outfit, divine femboy, celestial","female, girl, masculine, butch",Femboy angel. Innocent/corrupted contrast. Combos: FEMBOY_STATE_Shy_Blushing; FEMBOY_THEME_Sub.,RACE
RACE_FEMBOY_Dark_Elf,"1boy, femboy, trap, otokonoko, dark elf boy, (dark skin elf:1.3), (pointy ears:1.2), dark purple skin, white hair, drow, feminine dark elf","1girl, female only, masculine, human ears, light skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Dark elf femboy. Rare combo — androgynous drow. SCENE_Fantasy_Dungeon.,RACE
RACE_FEMBOY_Demon,"1boy, femboy, trap, otokonoko, (demon boy:1.3), small horns, tail, dark skin, incubus-like, demonic features, feminine demon","1girl, female only, masculine, no horns, no tail, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Demon femboy. Incubus aesthetic with femboy proportions. ARCHETYPE_FEMBOY_Succubus_Male.,RACE
RACE_FEMBOY_Dragon,"1boy, femboy, trap, otokonoko, (dragon horns:1.2), dragon tail, scales on body, draconic features, (slit pupils:1.2), androgynous dragon","1girl, female only, masculine, no scales, no horns, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Dragon femboy. Unusual delicate draconic aesthetic. MARKINGS from furry pack if stacking.,RACE
RACE_FEMBOY_Elf,"1boy, femboy, trap, otokonoko, elf boy, (pointy ears:1.3), long ears, elegant feminine build, elven features, fair skin","1girl, female only, masculine, human ears, round ears, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Elf femboy. Thin elven frame is perfect femboy territory. ARCHETYPE_FEMBOY_Elf.,RACE
RACE_FEMBOY_Fox_Kitsune,"1boy, femboy, trap, otokonoko, (kitsune:1.3), fox ears, (fox tail:1.2), fox boy, orange fur ears, feminine fox spirit","1girl, female only, masculine, no ears, no tail, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Kitsune femboy. Soft fox boy archetype. SCENE_Hot_Spring.,RACE
RACE_FEMBOY_Goblin,"1boy, femboy, trap, otokonoko, goblin femboy, (green skin:1.2), short stature, pointy ears, slim goblin, androgynous goblin, feminine goblin boy","1girl, female only, masculine, human skin, tall, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark",Goblin femboy. Short + slim + green. Pairs with BODY_FEMBOY_Petite.,RACE
RACE_FEMBOY_Oni,"1boy, femboy, trap, otokonoko, (oni boy:1.3), (oni horns:1.2), red or blue skin, white hair, slim oni, feminine oni, androgynous demon","1girl, female only, masculine, no horns, human skin, (bad anatomy:1.3), (bad hands:1.4), (extra fingers:1.5), (extra limbs:1.5), blurry, text, watermark","Oni femboy. Soft take on the oni — slender build, still horned. Unusual but effective.",RACE
